NAME,TEAM,OVERALLATTRIBUTE,CLOSESHOT,MIDRANGESHOT,THREEPOINTSHOT,FREETHROW,SHOTIQ,OFFENSIVECONSISTENCY,LAYUP,STANDINGDUNK,DRIVINGDUNK,POSTHOOK,POSTFADE,POSTCONTROL,DRAWFOUL,HANDS,INTERIORDEFENSE,PERIMETERDEFENSE,STEAL,BLOCK,LATERALQUICKNESS,HELPDEFENSEIQ,PASSPERCEPTION,DEFENSIVECONSISTENCY,SPEED,ACCELERATION,STRENGTH,VERTICAL,STAMINA,HUSTLE,OVERALLDURABILITY,PASSACCURACY,BALLHANDLE,SPEEDWITHBALL,PASSIQ,PASSVISION,OFFENSIVEREBOUND,DEFENSIVEREBOUND
Evan Mobley,Cleveland Cavaliers,85,82.0,83.0,66.0,68.0,98.0,90.0,84.0,85.0,80.0,79.0,72.0,79.0,70.0,95.0,86.0,74.0,38.0,77.0,69.0,86.0,75.0,85.0,72.0,72.0,68.0,81.0,94.0,90.0,80.0,69.0,60.0,66.0,84.0,45.0,80.0,82.0
Jarrett Allen,Cleveland Cavaliers,83,95.0,72.0,63.0,73.0,85.0,80.0,79.0,85.0,80.0,82.0,63.0,82.0,74.0,95.0,84.0,41.0,41.0,72.0,53.0,81.0,67.0,80.0,75.0,72.0,84.0,79.0,92.0,80.0,82.0,25.0,35.0,35.0,48.0,34.0,75.0,84.0
Caris LeVert,Cleveland Cavaliers,77,74.0,66.0,81.0,72.0,80.0,80.0,84.0,60.0,75.0,52.0,54.0,49.0,79.0,95.0,45.0,74.0,46.0,47.0,77.0,70.0,68.0,60.0,75.0,77.0,54.0,80.0,92.0,80.0,78.0,75.0,86.0,72.0,84.0,67.0,40.0,56.0
Isaac Okoro,Cleveland Cavaliers,76,88.0,60.0,79.0,75.0,90.0,65.0,80.0,45.0,75.0,47.0,49.0,50.0,50.0,95.0,68.0,85.0,49.0,56.0,86.0,80.0,82.0,85.0,77.0,77.0,67.0,80.0,89.0,80.0,82.0,69.0,72.0,73.0,69.0,33.0,44.0,48.0
Max Strus,Cleveland Cavaliers,76,88.0,79.0,77.0,89.0,90.0,90.0,68.0,35.0,65.0,48.0,58.0,54.0,68.0,85.0,45.0,57.0,37.0,37.0,65.0,50.0,50.0,35.0,76.0,76.0,40.0,74.0,88.0,80.0,85.0,72.0,69.0,74.0,78.0,43.0,37.0,53.0
Ty Jerome,Cleveland Cavaliers,75,93.0,87.0,82.0,83.0,75.0,60.0,79.0,40.0,45.0,38.0,37.0,40.0,65.0,80.0,40.0,66.0,41.0,42.0,73.0,65.0,68.0,50.0,69.0,69.0,56.0,62.0,85.0,85.0,80.0,84.0,86.0,68.0,84.0,71.0,29.0,47.0
Ricky Rubio,Cleveland Cavaliers,75,73.0,60.0,70.0,76.0,85.0,70.0,79.0,25.0,25.0,25.0,40.0,26.0,47.0,92.0,32.0,78.0,76.0,51.0,79.0,76.0,70.0,60.0,75.0,75.0,27.0,60.0,88.0,73.0,80.0,84.0,86.0,75.0,88.0,73.0,35.0,62.0
Raul Neto,Cleveland Cavaliers,74,88.0,83.0,75.0,74.0,80.0,70.0,78.0,25.0,25.0,43.0,40.0,35.0,64.0,81.0,40.0,73.0,59.0,42.0,75.0,66.0,80.0,70.0,71.0,75.0,51.0,68.0,82.0,85.0,79.0,79.0,79.0,70.0,79.0,67.0,34.0,46.0
Georges Niang,Cleveland Cavaliers,73,92.0,73.0,84.0,84.0,80.0,70.0,77.0,25.0,50.0,70.0,71.0,70.0,40.0,74.0,60.0,55.0,37.0,47.0,55.0,62.0,60.0,40.0,44.0,46.0,60.0,72.0,88.0,80.0,84.0,65.0,67.0,44.0,70.0,34.0,33.0,56.0
Dean Wade,Cleveland Cavaliers,73,80.0,68.0,81.0,78.0,80.0,70.0,60.0,80.0,75.0,60.0,60.0,64.0,44.0,70.0,50.0,67.0,46.0,57.0,68.0,70.0,68.0,60.0,62.0,62.0,60.0,83.0,80.0,85.0,79.0,38.0,60.0,43.0,55.0,31.0,39.0,67.0
Damian Jones,Cleveland Cavaliers,73,85.0,78.0,67.0,76.0,50.0,30.0,70.0,85.0,75.0,52.0,40.0,60.0,35.0,84.0,76.0,40.0,32.0,86.0,42.0,80.0,40.0,65.0,63.0,55.0,80.0,92.0,80.0,80.0,78.0,34.0,35.0,38.0,48.0,28.0,69.0,72.0
Sam Merrill,Cleveland Cavaliers,71,60.0,76.0,78.0,89.0,92.0,75.0,64.0,30.0,45.0,30.0,44.0,48.0,55.0,80.0,42.0,60.0,46.0,35.0,64.0,52.0,62.0,45.0,62.0,62.0,44.0,60.0,80.0,60.0,79.0,74.0,76.0,60.0,79.0,43.0,38.0,51.0
Isaiah Mobley,Cleveland Cavaliers,70,68.0,70.0,69.0,68.0,65.0,55.0,60.0,60.0,71.0,58.0,57.0,58.0,58.0,90.0,61.0,44.0,41.0,69.0,49.0,55.0,44.0,45.0,58.0,58.0,62.0,69.0,87.0,65.0,80.0,68.0,49.0,44.0,75.0,54.0,60.0,81.0
Mamadi Diakite,Cleveland Cavaliers,69,69.0,69.0,66.0,73.0,65.0,25.0,62.0,75.0,75.0,50.0,44.0,52.0,40.0,80.0,66.0,45.0,70.0,77.0,59.0,69.0,52.0,45.0,74.0,74.0,65.0,78.0,80.0,80.0,80.0,42.0,37.0,44.0,47.0,33.0,56.0,72.0
Luka Doncic,Dallas Mavericks,95,98.0,94.0,87.0,85.0,98.0,98.0,98.0,65.0,75.0,85.0,85.0,85.0,98.0,98.0,66.0,74.0,70.0,51.0,75.0,74.0,76.0,75.0,84.0,84.0,72.0,79.0,98.0,98.0,85.0,98.0,98.0,83.0,98.0,98.0,69.0,87.0
Kyrie Irving,Dallas Mavericks,90,97.0,95.0,84.0,90.0,95.0,98.0,95.0,25.0,30.0,35.0,70.0,64.0,85.0,96.0,32.0,73.0,42.0,56.0,76.0,75.0,86.0,60.0,85.0,85.0,37.0,81.0,97.0,87.0,80.0,88.0,99.0,85.0,89.0,80.0,40.0,56.0
Tim Hardaway Jr.,Dallas Mavericks,78,77.0,73.0,84.0,76.0,85.0,90.0,74.0,35.0,78.0,36.0,53.0,38.0,70.0,71.0,45.0,70.0,40.0,37.0,75.0,63.0,58.0,40.0,68.0,72.0,55.0,78.0,85.0,83.0,83.0,75.0,78.0,68.0,84.0,36.0,31.0,57.0
Seth Curry,Dallas Mavericks,77,98.0,96.0,86.0,98.0,85.0,85.0,85.0,25.0,36.0,27.0,35.0,30.0,35.0,69.0,25.0,57.0,43.0,37.0,68.0,54.0,55.0,35.0,78.0,78.0,41.0,68.0,89.0,80.0,80.0,75.0,78.0,77.0,75.0,45.0,31.0,45.0
Jaden Hardy,Dallas Mavericks,77,78.0,76.0,81.0,85.0,85.0,95.0,80.0,40.0,80.0,47.0,49.0,49.0,66.0,85.0,34.0,55.0,40.0,47.0,76.0,50.0,51.0,50.0,83.0,83.0,39.0,85.0,84.0,85.0,80.0,75.0,83.0,76.0,75.0,59.0,34.0,58.0
Derrick Jones Jr.,Dallas Mavericks,76,70.0,68.0,77.0,83.0,89.0,75.0,79.0,85.0,94.0,50.0,52.0,52.0,66.0,90.0,60.0,59.0,43.0,80.0,71.0,60.0,68.0,30.0,77.0,76.0,59.0,93.0,83.0,90.0,78.0,65.0,68.0,61.0,54.0,30.0,63.0,54.0
Grant Williams,Dallas Mavericks,76,89.0,64.0,84.0,80.0,85.0,60.0,77.0,50.0,60.0,59.0,58.0,66.0,50.0,81.0,68.0,58.0,37.0,51.0,70.0,69.0,60.0,65.0,58.0,60.0,73.0,66.0,88.0,85.0,80.0,69.0,66.0,54.0,72.0,36.0,47.0,62.0
Dwight Powell,Dallas Mavericks,76,85.0,65.0,78.0,68.0,80.0,95.0,70.0,75.0,65.0,77.0,79.0,79.0,83.0,90.0,74.0,45.0,53.0,56.0,58.0,68.0,74.0,65.0,71.0,48.0,80.0,67.0,90.0,95.0,83.0,55.0,60.0,44.0,64.0,32.0,78.0,61.0
Josh Green,Dallas Mavericks,76,89.0,74.0,83.0,72.0,60.0,65.0,75.0,30.0,80.0,35.0,34.0,30.0,69.0,95.0,35.0,75.0,42.0,32.0,81.0,79.0,63.0,60.0,86.0,86.0,60.0,80.0,89.0,90.0,83.0,70.0,70.0,72.0,70.0,39.0,46.0,48.0
Richaun Holmes,Dallas Mavericks,75,90.0,70.0,62.0,77.0,40.0,40.0,78.0,85.0,75.0,70.0,57.0,70.0,50.0,80.0,75.0,40.0,33.0,63.0,56.0,68.0,55.0,50.0,57.0,55.0,79.0,81.0,80.0,95.0,82.0,42.0,58.0,38.0,54.0,27.0,66.0,67.0
Maxi Kleber,Dallas Mavericks,75,52.0,70.0,79.0,66.0,80.0,35.0,73.0,75.0,75.0,67.0,67.0,64.0,40.0,80.0,74.0,72.0,32.0,72.0,72.0,75.0,72.0,75.0,45.0,38.0,79.0,56.0,85.0,85.0,80.0,70.0,64.0,45.0,68.0,33.0,43.0,61.0
Markieff Morris,Dallas Mavericks,74,83.0,72.0,85.0,74.0,50.0,65.0,67.0,65.0,67.0,68.0,77.0,75.0,40.0,70.0,75.0,42.0,42.0,55.0,50.0,75.0,50.0,55.0,57.0,44.0,84.0,63.0,91.0,77.0,92.0,44.0,42.0,34.0,78.0,43.0,52.0,69.0
Dante Exum,Dallas Mavericks,71,66.0,70.0,75.0,74.0,70.0,35.0,75.0,25.0,60.0,28.0,55.0,40.0,63.0,85.0,27.0,79.0,49.0,56.0,79.0,78.0,74.0,75.0,79.0,82.0,48.0,77.0,80.0,85.0,83.0,75.0,75.0,79.0,77.0,62.0,34.0,62.0
McKinley Wright IV,Dallas Mavericks,68,69.0,69.0,76.0,84.0,50.0,45.0,74.0,25.0,50.0,25.0,32.0,25.0,45.0,77.0,25.0,71.0,42.0,52.0,79.0,70.0,69.0,50.0,84.0,84.0,32.0,83.0,80.0,78.0,80.0,70.0,75.0,84.0,66.0,72.0,41.0,60.0
A.J. Lawson,Dallas Mavericks,67,70.0,68.0,75.0,55.0,60.0,50.0,68.0,45.0,75.0,52.0,52.0,55.0,42.0,75.0,48.0,60.0,55.0,39.0,67.0,60.0,65.0,50.0,74.0,74.0,34.0,80.0,85.0,80.0,80.0,62.0,69.0,69.0,64.0,37.0,37.0,38.0
Nikola Jokic,Denver Nuggets,98,98.0,98.0,84.0,82.0,95.0,98.0,91.0,90.0,75.0,94.0,95.0,95.0,90.0,90.0,70.0,61.0,53.0,56.0,37.0,71.0,56.0,55.0,63.0,62.0,93.0,63.0,97.0,80.0,83.0,93.0,76.0,60.0,98.0,93.0,68.0,93.0
Jamal Murray,Denver Nuggets,88,85.0,83.0,84.0,83.0,95.0,98.0,85.0,30.0,82.0,38.0,46.0,74.0,78.0,84.0,35.0,74.0,43.0,40.0,74.0,67.0,70.0,65.0,79.0,79.0,54.0,80.0,95.0,85.0,78.0,83.0,88.0,77.0,85.0,73.0,38.0,52.0
Aaron Gordon,Denver Nuggets,84,82.0,66.0,80.0,62.0,98.0,98.0,84.0,95.0,95.0,58.0,60.0,74.0,85.0,95.0,74.0,76.0,40.0,62.0,76.0,75.0,68.0,75.0,71.0,67.0,72.0,92.0,95.0,90.0,84.0,65.0,62.0,66.0,60.0,54.0,68.0,65.0
Michael Porter Jr.,Denver Nuggets,83,88.0,92.0,86.0,81.0,85.0,95.0,86.0,60.0,80.0,50.0,62.0,68.0,55.0,80.0,60.0,64.0,38.0,55.0,73.0,60.0,68.0,40.0,80.0,81.0,68.0,88.0,88.0,80.0,66.0,65.0,78.0,77.0,62.0,30.0,43.0,68.0
Kentavious Caldwell-Pope,Denver Nuggets,78,87.0,84.0,87.0,84.0,75.0,70.0,76.0,35.0,73.0,35.0,58.0,35.0,40.0,90.0,45.0,84.0,70.0,52.0,84.0,82.0,82.0,80.0,85.0,82.0,60.0,69.0,92.0,85.0,84.0,75.0,75.0,80.0,82.0,39.0,33.0,45.0
Reggie Jackson,Denver Nuggets,75,85.0,72.0,77.0,91.0,80.0,50.0,74.0,25.0,65.0,25.0,48.0,28.0,44.0,88.0,49.0,74.0,42.0,35.0,74.0,70.0,74.0,70.0,84.0,84.0,48.0,85.0,95.0,85.0,84.0,82.0,86.0,84.0,75.0,70.0,34.0,44.0
Zeke Nnaji,Denver Nuggets,75,71.0,76.0,75.0,70.0,85.0,75.0,77.0,80.0,70.0,69.0,67.0,67.0,69.0,77.0,69.0,54.0,40.0,68.0,57.0,57.0,42.0,45.0,77.0,77.0,70.0,82.0,80.0,89.0,83.0,33.0,37.0,52.0,42.0,27.0,77.0,47.0
Vlatko Cancar,Denver Nuggets,73,88.0,70.0,84.0,84.0,70.0,70.0,77.0,45.0,65.0,42.0,44.0,45.0,45.0,80.0,48.0,52.0,40.0,55.0,63.0,52.0,40.0,40.0,60.0,60.0,63.0,70.0,80.0,65.0,87.0,52.0,64.0,54.0,54.0,46.0,41.0,60.0
Ish Smith,Denver Nuggets,73,75.0,74.0,79.0,55.0,65.0,50.0,75.0,25.0,30.0,25.0,32.0,25.0,62.0,81.0,25.0,74.0,37.0,57.0,77.0,64.0,52.0,50.0,87.0,87.0,32.0,70.0,80.0,78.0,83.0,86.0,86.0,87.0,85.0,74.0,33.0,57.0
Justin Holiday,Denver Nuggets,73,74.0,54.0,81.0,82.0,80.0,80.0,73.0,60.0,73.0,40.0,42.0,43.0,50.0,63.0,60.0,75.0,41.0,66.0,75.0,74.0,78.0,65.0,66.0,71.0,45.0,82.0,85.0,80.0,78.0,65.0,72.0,60.0,69.0,34.0,28.0,42.0
Christian Braun,Denver Nuggets,73,77.0,82.0,84.0,63.0,75.0,75.0,69.0,25.0,80.0,25.0,55.0,36.0,45.0,72.0,40.0,70.0,43.0,55.0,70.0,68.0,70.0,70.0,83.0,83.0,46.0,83.0,93.0,80.0,80.0,69.0,69.0,74.0,68.0,32.0,49.0,57.0
DeAndre Jordan,Denver Nuggets,72,74.0,25.0,25.0,51.0,25.0,25.0,57.0,75.0,75.0,35.0,37.0,35.0,44.0,90.0,70.0,57.0,35.0,80.0,62.0,67.0,55.0,55.0,65.0,53.0,85.0,83.0,92.0,80.0,94.0,25.0,30.0,33.0,66.0,35.0,69.0,90.0
Peyton Watson,Denver Nuggets,71,72.0,69.0,68.0,69.0,70.0,65.0,68.0,60.0,65.0,44.0,42.0,40.0,40.0,80.0,59.0,68.0,52.0,75.0,71.0,65.0,62.0,60.0,77.0,77.0,55.0,82.0,88.0,75.0,80.0,60.0,70.0,76.0,62.0,28.0,59.0,68.0
Collin Gillespie,Denver Nuggets,68,74.0,75.0,80.0,87.0,50.0,50.0,74.0,40.0,54.0,31.0,46.0,40.0,37.0,95.0,33.0,62.0,38.0,56.0,74.0,60.0,58.0,55.0,82.0,82.0,33.0,72.0,85.0,80.0,80.0,79.0,77.0,82.0,75.0,57.0,35.0,53.0
Braxton Key,Denver Nuggets,67,69.0,69.0,70.0,65.0,40.0,25.0,68.0,75.0,75.0,59.0,58.0,58.0,33.0,74.0,52.0,52.0,76.0,75.0,58.0,52.0,54.0,35.0,69.0,68.0,70.0,81.0,80.0,79.0,80.0,48.0,49.0,59.0,54.0,37.0,58.0,79.0
Jay Huff,Denver Nuggets,67,77.0,72.0,77.0,77.0,50.0,40.0,64.0,65.0,60.0,62.0,62.0,62.0,38.0,80.0,62.0,32.0,32.0,69.0,34.0,62.0,54.0,50.0,48.0,47.0,62.0,62.0,80.0,85.0,77.0,50.0,43.0,33.0,60.0,38.0,64.0,68.0
Cade Cunningham,Detroit Pistons,84,83.0,89.0,78.0,84.0,95.0,98.0,83.0,40.0,75.0,60.0,62.0,60.0,83.0,98.0,59.0,75.0,40.0,55.0,80.0,75.0,76.0,75.0,83.0,83.0,62.0,80.0,94.0,90.0,80.0,83.0,86.0,83.0,86.0,75.0,41.0,69.0
Bojan Bogdanovic,Detroit Pistons,82,96.0,87.0,85.0,89.0,85.0,95.0,79.0,40.0,70.0,49.0,60.0,64.0,84.0,70.0,54.0,78.0,36.0,32.0,77.0,75.0,62.0,70.0,67.0,62.0,60.0,72.0,93.0,75.0,84.0,77.0,74.0,66.0,82.0,52.0,35.0,52.0
Jaden Ivey,Detroit Pistons,80,73.0,81.0,77.0,73.0,95.0,95.0,85.0,30.0,85.0,44.0,42.0,44.0,82.0,90.0,59.0,71.0,41.0,45.0,82.0,70.0,69.0,65.0,92.0,92.0,54.0,85.0,92.0,85.0,80.0,84.0,86.0,92.0,84.0,76.0,42.0,52.0
Jalen Duren,Detroit Pistons,79,91.0,57.0,35.0,62.0,50.0,75.0,79.0,80.0,80.0,60.0,49.0,54.0,79.0,80.0,72.0,62.0,40.0,72.0,67.0,72.0,66.0,60.0,73.0,73.0,81.0,84.0,89.0,90.0,80.0,59.0,59.0,59.0,50.0,33.0,91.0,86.0
James Wiseman,Detroit Pistons,79,88.0,73.0,70.0,68.0,80.0,70.0,71.0,80.0,75.0,72.0,64.0,71.0,50.0,85.0,74.0,50.0,30.0,68.0,63.0,78.0,54.0,65.0,70.0,70.0,70.0,68.0,87.0,85.0,87.0,54.0,66.0,54.0,64.0,31.0,75.0,87.0
Marvin Bagley III,Detroit Pistons,79,90.0,78.0,70.0,72.0,50.0,65.0,79.0,80.0,80.0,80.0,78.0,81.0,65.0,80.0,70.0,49.0,36.0,68.0,57.0,70.0,65.0,55.0,73.0,74.0,80.0,86.0,85.0,80.0,87.0,47.0,62.0,64.0,60.0,31.0,78.0,77.0
Monte Morris,Detroit Pistons,79,90.0,87.0,83.0,82.0,85.0,85.0,79.0,25.0,50.0,28.0,45.0,32.0,70.0,80.0,44.0,62.0,40.0,37.0,70.0,52.0,55.0,35.0,83.0,83.0,41.0,72.0,85.0,80.0,81.0,94.0,86.0,83.0,94.0,72.0,33.0,54.0
Isaiah Stewart,Detroit Pistons,78,89.0,76.0,75.0,74.0,65.0,60.0,76.0,75.0,70.0,75.0,64.0,80.0,70.0,79.0,70.0,54.0,33.0,60.0,60.0,72.0,42.0,50.0,63.0,62.0,80.0,70.0,89.0,87.0,77.0,44.0,34.0,52.0,50.0,33.0,67.0,82.0
Hamidou Diallo,Detroit Pistons,77,93.0,79.0,60.0,64.0,75.0,70.0,87.0,45.0,93.0,31.0,29.0,38.0,74.0,75.0,40.0,65.0,80.0,55.0,77.0,60.0,78.0,40.0,85.0,85.0,52.0,97.0,85.0,80.0,81.0,75.0,79.0,79.0,79.0,38.0,56.0,66.0
Alec Burks,Detroit Pistons,77,85.0,81.0,87.0,79.0,75.0,85.0,78.0,40.0,69.0,40.0,58.0,78.0,70.0,77.0,45.0,72.0,46.0,35.0,72.0,74.0,70.0,55.0,78.0,78.0,48.0,69.0,89.0,72.0,85.0,72.0,79.0,76.0,73.0,60.0,34.0,60.0
Joe Harris,Detroit Pistons,76,74.0,75.0,86.0,70.0,98.0,85.0,76.0,25.0,45.0,30.0,48.0,32.0,40.0,88.0,34.0,66.0,38.0,45.0,69.0,58.0,63.0,55.0,69.0,69.0,40.0,67.0,90.0,85.0,83.0,72.0,73.0,67.0,74.0,37.0,34.0,49.0
Ausar Thompson,Detroit Pistons,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killian Hayes,Detroit Pistons,75,78.0,84.0,70.0,79.0,75.0,65.0,74.0,25.0,60.0,35.0,55.0,60.0,45.0,85.0,49.0,73.0,76.0,51.0,77.0,69.0,70.0,65.0,79.0,79.0,56.0,70.0,89.0,85.0,83.0,82.0,83.0,75.0,84.0,78.0,31.0,50.0
Isaiah Livers,Detroit Pistons,74,72.0,86.0,80.0,77.0,85.0,75.0,76.0,25.0,65.0,26.0,32.0,35.0,44.0,80.0,37.0,65.0,41.0,61.0,74.0,60.0,60.0,55.0,73.0,73.0,55.0,71.0,85.0,66.0,82.0,68.0,70.0,70.0,65.0,29.0,36.0,50.0
Rodney McGruder,Detroit Pistons,73,85.0,73.0,84.0,72.0,88.0,65.0,60.0,35.0,50.0,30.0,42.0,41.0,45.0,80.0,50.0,79.0,42.0,30.0,79.0,79.0,74.0,70.0,71.0,69.0,45.0,70.0,75.0,70.0,81.0,68.0,74.0,67.0,69.0,35.0,45.0,54.0
Jared Rhoden,Detroit Pistons,69,56.0,73.0,74.0,80.0,50.0,40.0,70.0,65.0,70.0,42.0,44.0,37.0,44.0,75.0,47.0,68.0,60.0,60.0,72.0,62.0,65.0,55.0,68.0,68.0,62.0,70.0,80.0,80.0,82.0,55.0,69.0,63.0,54.0,30.0,58.0,59.0
Buddy Boeheim,Detroit Pistons,68,68.0,77.0,79.0,84.0,70.0,50.0,70.0,45.0,60.0,44.0,47.0,48.0,40.0,80.0,42.0,59.0,43.0,45.0,59.0,52.0,55.0,45.0,57.0,57.0,44.0,70.0,80.0,80.0,80.0,62.0,68.0,57.0,62.0,31.0,45.0,47.0
Stephen Curry,Golden State Warriors,96,97.0,92.0,99.0,92.0,98.0,99.0,96.0,25.0,36.0,35.0,52.0,35.0,94.0,98.0,30.0,75.0,41.0,47.0,77.0,78.0,85.0,65.0,84.0,84.0,48.0,73.0,98.0,98.0,86.0,93.0,97.0,84.0,97.0,74.0,36.0,68.0
Chris Paul,Golden State Warriors,87,95.0,89.0,81.0,82.0,85.0,85.0,86.0,25.0,27.0,40.0,55.0,70.0,50.0,90.0,61.0,90.0,76.0,51.0,90.0,90.0,75.0,85.0,80.0,80.0,62.0,75.0,90.0,75.0,77.0,90.0,90.0,80.0,90.0,86.0,31.0,60.0
Klay Thompson,Golden State Warriors,85,90.0,86.0,93.0,88.0,98.0,98.0,75.0,35.0,65.0,35.0,65.0,64.0,36.0,90.0,70.0,87.0,37.0,51.0,87.0,85.0,86.0,85.0,71.0,74.0,62.0,67.0,91.0,85.0,94.0,77.0,76.0,71.0,77.0,43.0,35.0,54.0
Draymond Green,Golden State Warriors,83,98.0,70.0,76.0,70.0,85.0,55.0,70.0,55.0,65.0,60.0,59.0,63.0,40.0,85.0,93.0,86.0,42.0,61.0,82.0,93.0,84.0,95.0,73.0,74.0,85.0,66.0,85.0,90.0,88.0,83.0,78.0,69.0,92.0,73.0,40.0,81.0
Andrew Wiggins,Golden State Warriors,82,92.0,84.0,84.0,63.0,85.0,80.0,77.0,40.0,92.0,65.0,74.0,77.0,65.0,85.0,55.0,82.0,53.0,61.0,83.0,80.0,79.0,75.0,82.0,82.0,57.0,97.0,98.0,90.0,83.0,72.0,82.0,80.0,75.0,41.0,53.0,53.0
Kevon Looney,Golden State Warriors,79,96.0,49.0,69.0,59.0,88.0,70.0,78.0,75.0,70.0,55.0,52.0,62.0,52.0,66.0,72.0,46.0,40.0,63.0,62.0,74.0,64.0,65.0,58.0,69.0,74.0,63.0,85.0,96.0,84.0,55.0,61.0,48.0,66.0,52.0,91.0,88.0
Jonathan Kuminga,Golden State Warriors,78,91.0,85.0,81.0,66.0,75.0,75.0,80.0,65.0,85.0,49.0,50.0,50.0,62.0,85.0,73.0,73.0,41.0,60.0,79.0,70.0,69.0,50.0,84.0,84.0,73.0,90.0,88.0,80.0,80.0,69.0,67.0,75.0,60.0,49.0,52.0,56.0
Gary Payton II,Golden State Warriors,77,79.0,70.0,79.0,66.0,80.0,60.0,79.0,35.0,75.0,30.0,42.0,42.0,75.0,89.0,79.0,83.0,90.0,51.0,80.0,76.0,91.0,80.0,81.0,81.0,48.0,85.0,85.0,80.0,83.0,75.0,78.0,81.0,72.0,43.0,62.0,61.0
JaMychal Green,Golden State Warriors,77,73.0,67.0,81.0,77.0,95.0,80.0,64.0,70.0,70.0,63.0,56.0,64.0,59.0,95.0,69.0,51.0,43.0,66.0,62.0,69.0,60.0,35.0,59.0,55.0,69.0,74.0,85.0,85.0,81.0,55.0,35.0,44.0,61.0,37.0,70.0,71.0
Dario Saric,Golden State Warriors,76,82.0,65.0,81.0,84.0,70.0,80.0,79.0,45.0,70.0,74.0,74.0,81.0,60.0,92.0,70.0,49.0,40.0,40.0,61.0,74.0,50.0,65.0,63.0,69.0,65.0,60.0,82.0,86.0,81.0,75.0,69.0,57.0,84.0,51.0,60.0,80.0
Andre Iguodala,Golden State Warriors,75,70.0,65.0,69.0,67.0,45.0,25.0,70.0,55.0,70.0,47.0,44.0,50.0,30.0,80.0,75.0,84.0,66.0,74.0,83.0,83.0,74.0,80.0,77.0,77.0,73.0,75.0,83.0,80.0,82.0,75.0,78.0,75.0,80.0,70.0,44.0,60.0
Cory Joseph,Golden State Warriors,74,87.0,76.0,81.0,79.0,75.0,70.0,72.0,25.0,30.0,27.0,39.0,29.0,55.0,85.0,54.0,75.0,42.0,42.0,80.0,68.0,59.0,65.0,72.0,72.0,40.0,65.0,88.0,70.0,84.0,80.0,84.0,72.0,80.0,73.0,32.0,46.0
Anthony Lamb,Golden State Warriors,73,84.0,69.0,81.0,76.0,85.0,65.0,78.0,40.0,65.0,35.0,51.0,49.0,30.0,82.0,52.0,57.0,40.0,53.0,67.0,59.0,50.0,35.0,62.0,62.0,65.0,70.0,85.0,80.0,81.0,66.0,69.0,61.0,69.0,42.0,49.0,61.0
Moses Moody,Golden State Warriors,73,80.0,77.0,77.0,69.0,60.0,75.0,80.0,40.0,70.0,44.0,48.0,49.0,70.0,80.0,68.0,71.0,40.0,42.0,77.0,69.0,60.0,65.0,73.0,73.0,68.0,70.0,88.0,80.0,80.0,65.0,74.0,70.0,64.0,35.0,45.0,48.0
Lester Quiñones,Golden State Warriors,67,73.0,71.0,76.0,75.0,75.0,35.0,73.0,25.0,65.0,42.0,44.0,40.0,44.0,80.0,33.0,63.0,37.0,31.0,68.0,52.0,51.0,40.0,70.0,70.0,44.0,74.0,80.0,68.0,80.0,64.0,70.0,64.0,68.0,59.0,44.0,56.0
Jalen Green,Houston Rockets,83,81.0,86.0,82.0,79.0,80.0,95.0,89.0,40.0,91.0,56.0,56.0,56.0,89.0,95.0,45.0,73.0,38.0,45.0,77.0,70.0,68.0,60.0,88.0,88.0,55.0,92.0,88.0,85.0,80.0,77.0,86.0,84.0,79.0,64.0,34.0,51.0
Fred VanVleet,Houston Rockets,83,72.0,90.0,79.0,89.0,90.0,90.0,82.0,25.0,35.0,30.0,32.0,28.0,80.0,98.0,27.0,83.0,70.0,55.0,83.0,79.0,74.0,80.0,83.0,83.0,42.0,75.0,95.0,94.0,82.0,89.0,86.0,83.0,92.0,73.0,31.0,56.0
Alperen Sengun,Houston Rockets,83,96.0,69.0,73.0,73.0,75.0,85.0,79.0,70.0,80.0,87.0,87.0,87.0,74.0,95.0,69.0,63.0,43.0,72.0,64.0,69.0,85.0,65.0,52.0,52.0,76.0,69.0,88.0,90.0,80.0,74.0,62.0,48.0,75.0,70.0,86.0,80.0
Kevin Porter Jr.,Houston Rockets,81,86.0,85.0,80.0,78.0,95.0,90.0,84.0,40.0,80.0,25.0,62.0,44.0,79.0,95.0,44.0,69.0,56.0,47.0,75.0,64.0,60.0,40.0,85.0,85.0,52.0,75.0,88.0,80.0,80.0,82.0,82.0,83.0,82.0,73.0,46.0,59.0
Jabari Smith Jr.,Houston Rockets,79,85.0,78.0,77.0,77.0,80.0,80.0,75.0,65.0,85.0,69.0,69.0,69.0,54.0,85.0,70.0,69.0,35.0,70.0,72.0,67.0,67.0,55.0,76.0,76.0,60.0,75.0,89.0,70.0,80.0,65.0,75.0,69.0,66.0,31.0,51.0,77.0
Tari Eason,Houston Rockets,79,72.0,72.0,80.0,74.0,85.0,80.0,79.0,35.0,80.0,54.0,52.0,51.0,61.0,80.0,65.0,71.0,83.0,67.0,77.0,70.0,68.0,50.0,80.0,80.0,70.0,80.0,85.0,85.0,80.0,50.0,70.0,72.0,47.0,33.0,79.0,73.0
